id,city,city_ascii,state_id,state_name,county_name,lat,lng,population
13486,Cole Camp,Cole Camp,MO,Missouri,Benton,38.4595,-93.2025,1334
13487,Des Arc,Des Arc,AR,Arkansas,Prairie,34.9776,-91.5067,1334
13488,Elmore,Elmore,AL,Alabama,Elmore,32.5552,-86.3425,1334
13489,Sistersville,Sistersville,WV,West Virginia,Tyler,39.5597,-80.9988,1334
13490,Ortonville,Ortonville,MI,Michigan,Oakland,42.8510,-83.4427,1334
13491,Kamiah,Kamiah,ID,Idaho,Lewis,46.2269,-116.0283,1334
13492,Sardinia,Sardinia,OH,Ohio,Brown,39.0071,-83.8020,1333
13493,Lily Lake,Lily Lake,IL,Illinois,Kane,41.9516,-88.4743,1333
13494,Elmer,Elmer,NJ,New Jersey,Salem,39.5919,-75.1740,1333
13495,Chatsworth,Chatsworth,IL,Illinois,Livingston,40.7293,-88.2974,1332
13496,Bass Lake,Bass Lake,IN,Indiana,Starke,41.2304,-86.5845,1332
13497,University Heights,University Heights,IA,Iowa,Johnson,41.6551,-91.5589,1332
13498,Flemington,Flemington,PA,Pennsylvania,Clinton,41.1271,-77.4703,1332
13499,Hiram,Hiram,OH,Ohio,Portage,41.3115,-81.1429,1332
13500,Point Marion,Point Marion,PA,Pennsylvania,Fayette,39.7354,-79.9008,1331
13501,Chocowinity,Chocowinity,NC,North Carolina,Beaufort,35.5148,-77.1017,1331
13502,Rollingwood,Rollingwood,TX,Texas,Travis,30.2736,-97.7867,1331
13503,Navesink,Navesink,NJ,New Jersey,Monmouth,40.4020,-74.0387,1331
13504,Grass Lake,Grass Lake,MI,Michigan,Jackson,42.2511,-84.2073,1331
13505,Dryden,Dryden,MI,Michigan,Lapeer,42.9456,-83.1240,1331
13506,Point Venture,Point Venture,TX,Texas,Travis,30.3817,-98.0010,1330
13507,New California,New California,OH,Ohio,Union,40.1503,-83.2371,1330
13508,West Hills,West Hills,PA,Pennsylvania,Armstrong,40.8291,-79.5452,1330
13509,Smithville,Smithville,OH,Ohio,Wayne,40.8625,-81.8604,1330
13510,Lakes West,Lakes West,CT,Connecticut,Fairfield,41.3350,-73.5130,1330
13511,Augusta,Augusta,KY,Kentucky,Bracken,38.7723,-84.0003,1329
13512,Plains,Plains,TX,Texas,Yoakum,33.1883,-102.8214,1329
13513,Great Bend,Great Bend,NY,New York,Jefferson,44.0198,-75.7076,1329
13514,Edison,Edison,GA,Georgia,Calhoun,31.5608,-84.7374,1329
13515,Parcelas La Milagrosa,Parcelas La Milagrosa,PR,Puerto Rico,Cidra,18.1716,-66.1868,1329
13516,Ruston,Ruston,WA,Washington,Pierce,47.2982,-122.5103,1329
13517,New Hope,New Hope,NC,North Carolina,Wayne,35.3774,-77.8923,1328
13518,Cavalier,Cavalier,ND,North Dakota,Pembina,48.7939,-97.6226,1328
13519,Sharon Center,Sharon Center,OH,Ohio,Medina,41.0961,-81.7393,1328
13520,Oyster Creek,Oyster Creek,TX,Texas,Brazoria,28.9978,-95.3282,1328
13521,Marshall,Marshall,AR,Arkansas,Searcy,35.9084,-92.6459,1327
13522,Star,Star,NC,North Carolina,Montgomery,35.3992,-79.7832,1327
13523,Hansen,Hansen,ID,Idaho,Twin Falls,42.5314,-114.3011,1327
13524,New Hackensack,New Hackensack,NY,New York,Dutchess,41.6194,-73.8593,1327
13525,Redfield,Redfield,AR,Arkansas,Jefferson,34.4429,-92.1844,1327
13526,Walford,Walford,IA,Iowa,Linn,41.8799,-91.8306,1326
13527,Eustace,Eustace,TX,Texas,Henderson,32.3076,-96.0138,1326
13528,Lydia,Lydia,LA,Louisiana,Iberia,29.9263,-91.7813,1326
13529,Hawi,Hawi,HI,Hawaii,Hawaii,20.2263,-155.8389,1325
13530,Muhlenberg Park,Muhlenberg Park,PA,Pennsylvania,Berks,40.3868,-75.9398,1325
13531,Wartburg,Wartburg,TN,Tennessee,Morgan,36.1038,-84.5859,1325
13532,Donovan Estates,Donovan Estates,AZ,Arizona,Yuma,32.7094,-114.6781,1325
13533,Newark,Newark,IL,Illinois,Kendall,41.5368,-88.5803,1325
13534,St. Vincent College,St. Vincent College,PA,Pennsylvania,Westmoreland,40.2914,-79.4054,1325
13535,Norris City,Norris City,IL,Illinois,White,37.9790,-88.3279,1325
13536,New Berlin,New Berlin,IL,Illinois,Sangamon,39.7261,-89.9143,1324
13537,Forest Meadows,Forest Meadows,CA,California,Calaveras,38.1717,-120.3990,1324
